# Neutral stability data
# Columns: heat release, activation energy, frequency
8.100000000000000533e-01 4.625000000000000000e+00 3.914729155407007943e-01
8.695686274509804026e-01 4.306250000000000355e+00 4.055981637197000889e-01
9.291372549019608629e-01 4.034374999999998934e+00 4.192941826779090220e-01
9.887058823529412122e-01 3.788281249999999822e+00 4.324998521173958888e-01
1.048274509803921672e+00 3.575000000000000178e+00 4.453573676590013020e-01
1.107843137254902022e+00 3.382812500000000000e+00 4.578367607980141085e-01
1.167411764705882371e+00 3.209375000000000089e+00 4.699753002575656757e-01
1.226980392156862720e+00 3.054687500000000000e+00 4.818301555028532968e-01
1.286549019607843292e+00 2.914062500000000000e+00 4.933979170038318429e-01
1.346117647058823419e+00 2.782812500000000355e+00 5.046595438098461228e-01
1.405686274509803990e+00 2.665624999999999911e+00 5.157158754554272972e-01
1.465254901960784339e+00 2.557812499999999822e+00 5.265384171194124052e-01
1.524823529411764689e+00 2.459375000000000089e+00 5.371586960294799651e-01
1.584392156862745260e+00 2.365625000000000089e+00 5.475286125685645544e-01
1.643960784313725387e+00 2.281250000000000000e+00 5.577505171936300021e-01
1.703529411764705959e+00 2.199218750000000000e+00 5.677220619147932412e-01
1.763098039215686308e+00 2.126562499999999467e+00 5.775964713240676618e-01
1.822666666666666657e+00 2.056250000000000355e+00 5.872556329433639144e-01
1.882235294117647006e+00 1.990625000000000089e+00 5.967623334663026968e-01
1.941803921568627578e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.001372549019607927e+00 1.873437500000000089e+00 6.153910597095476609e-01
2.060941176470588054e+00 1.817187499999999956e+00 6.244271468670553604e-01
2.120509803921568626e+00 1.767968750000000089e+00 6.334371345450655610e-01
2.180078431372549197e+00 1.718750000000000222e+00 6.422470979910765987e-01
2.239647058823529324e+00 1.674218750000000089e+00 6.509967210152340922e-01
2.299215686274509896e+00 1.629687500000000178e+00 6.595623976568937286e-01
2.358784313725490023e+00 1.588671875000000400e+00 6.680563211669419132e-01
2.418352941176470594e+00 1.550000000000000266e+00 6.764543810370654553e-01
2.477921568627451165e+00 1.512500000000000178e+00 6.847267927703964974e-01
2.537490196078431293e+00 1.477343750000000178e+00 6.929205239052924625e-01
2.597058823529411864e+00 1.442187499999999956e+00 7.009594420932608871e-01
2.656627450980391991e+00 1.410546875000000311e+00 7.089799706063261153e-01
2.716196078431372563e+00 1.378906250000000000e+00 7.168560455558714573e-01
2.775764705882353134e+00 1.350781250000000266e+00 7.247338993972687327e-01
2.835333333333333261e+00 1.321484375000000266e+00 7.324310047446489502e-01
2.894901960784313832e+00 1.294531249999999911e+00 7.400954135375561460e-01
2.954470588235293960e+00 1.268750000000000044e+00 7.476852821801548421e-01
3.014039215686274531e+00 1.242968750000000178e+00 7.551525701024190962e-01
3.073607843137255102e+00 1.219531249999999734e+00 7.626094037069758302e-01
3.133176470588235230e+00 1.196093750000000178e+00 7.699517149132483196e-01
